track_id,Unnamed: 0,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3Et4LKZLnXygPYfNdeB3D3,72,0.57,0.06766851972249033,0,0.541,0.575,9,0.7411353421008823,1,0.05088082901554404,0.677,0.215,0.102,0.428,0.37793994378975393
2E9viCx0hJKNKNThd2MdGQ,73,0.56,0.03389154133956556,0,0.607,0.473,2,0.7579305624919075,1,0.03523316062176166,0.712,0.0,0.66,0.54,0.4918314350048485
0Zf1BPkkFAWGtVHeBwHHz4,74,0.56,0.047322138623086915,0,0.417,0.595,6,0.7711558737029022,1,0.04103626943005182,0.158,0.000269,0.101,0.117,0.6078267015104448
38jy6kRlPt8z1GUS9WXeNh,75,0.67,0.04131636655945483,0,0.572,0.454,3,0.7259123615041709,1,0.02673575129533679,0.477,1.37e-05,0.0974,0.515,0.5759988823693768
2SkJKMfjpYsNv0KWOxiegX,76,0.62,0.04378596202810802,0,0.709,0.913,7,0.8209496328357656,1,0.07751295336787566,0.0182,0.0,0.167,0.519,0.4438637148069622
4qCbMMMuEB56kHd4zPE6GD,77,0.45,0.06318777155000817,0,0.537,0.342,2,0.6654828625862419,1,0.02829015544041451,0.645,0.266,0.0687,0.253,0.44884374537744687
11TK5KLtLZUdKr1C549bAw,78,0.64,0.032882050753299176,0,0.602,0.336,8,0.7107448717237297,1,0.03823834196891192,0.883,0.0017,0.143,0.335,0.3734776391696662
7BXW1QCg56yzEBV8pW8pah,79,0.65,0.04317228645703555,0,0.643,0.638,1,0.8246675175258493,0,0.04217616580310881,0.204,0.0,0.0707,0.6,0.3369368703055405
2kMrCPZ0o5gErBPLCRgoli,80,0.0,0.044903523670138876,0,0.451,0.7,10,0.7941475685774003,0,0.04466321243523316,0.455,0.00233,0.405,0.37,0.6165664086254787
5IjTZ1g8KrIuV97N3OQZ0V,81,0.0,0.0372736307578626,0,0.546,0.391,2,0.7166638921258531,0,0.06528497409326425,0.784,2.72e-06,0.0552,0.202,0.5738909981427609
3bHhUEOTIbezeZ856R0BX5,82,0.68,0.045119856719928894,0,0.561,0.327,11,0.715757542126778,0,0.0338860103626943,0.902,0.000469,0.111,0.298,0.6650641815821048
0wf17wsLRwnnfh241GkeH5,83,0.0,0.03463620055773066,0,0.479,0.541,0,0.7337550635369845,1,0.05626943005181347,0.74,0.0,0.108,0.3,0.3533438522097858
3322ArxAq7wCSZI4fF77Q0,84,0.0,0.03463620055773066,0,0.479,0.541,0,0.7337550635369845,1,0.05626943005181347,0.74,0.0,0.108,0.3,0.3533438522097858
4LGF2tDg3878bs0mQPByZ4,85,0.61,0.031409343945681886,0,0.436,0.4,7,0.7037345319349647,1,0.028186528497409324,0.904,0.00105,0.125,0.351,0.4139095705339973
6Uy6K3KdmUdAfelUp0SeXn,86,0.7,0.04211582505854644,0,0.551,0.836,10,0.8451806226069585,0,0.05430051813471503,0.00502,2.1e-05,0.0425,0.758,0.760412044113538
2z2JKNU24UEngb4joR9p8f,87,0.0,0.04916526565717608,0,0.409,0.153,6,0.7175147513086583,0,0.03170984455958549,0.939,2.56e-05,0.108,0.18,0.3503361109741466
2nef44o0sjJDKB1ta4S0ub,88,0.0,0.04916526565717608,0,0.409,0.153,6,0.7175147513086583,0,0.03170984455958549,0.939,2.56e-05,0.108,0.18,0.3503361109741466
0qJGlogD7AyMLAJfQ42aI2,89,0.62,0.04021388904004834,0,0.6,0.845,10,0.7852875349129719,1,0.0322279792746114,0.048,0.0,0.24,0.392,0.4011595417714445
